patch,ra,ra_wrapped,dec,rotpmra,rotpmdec,b-r,g,5d_distance,nn_score
9,176.3175048828125,176.3175048828125,51.246116638183594,-8.297165217961462,-9.763083759827547,0.6285972595214844,18.433467864990234,0.10188666565084079,0.43780667
9,171.540283203125,171.540283203125,49.56349182128906,-3.0706734700928457,-10.341445636395168,0.6500892639160156,18.333097457885742,0.13916684796614778,0.4371544
9,166.99411010742188,166.99411010742188,47.461181640625,-6.692423774574193,-12.840000887964178,0.5722694396972656,18.490219116210938,0.11395858139903028,0.4349649
9,173.5321044921875,173.5321044921875,49.2617073059082,-3.649372641895011,-9.665027199854139,0.720184326171875,19.133190155029297,0.08869732373020446,0.4339493
8,178.0928955078125,178.0928955078125,51.52289962768555,-3.7974906731217053,-8.393582560847888,0.7071113586425781,19.47393035888672,0.0952999081518804,0.4321459
8,179.580810546875,179.580810546875,51.359859466552734,-6.000355438535111,-8.120013450839272,0.6921958923339844,19.784072875976562,0.1396589614874544,0.4320191
8,179.57318115234375,179.57318115234375,50.54066848754883,-8.217449470579563,-8.219677994351029,0.6993179321289062,19.42713165283203,0.12181733013588104,0.43048915
8,176.66168212890625,176.66168212890625,52.06462478637695,-6.882433804785036,-8.300988283220414,0.6865959167480469,18.789844512939453,0.12402454077617646,0.43047774
15,172.72665405273438,172.72665405273438,52.24409866333008,-3.8136109136202467,-8.074411220928836,0.6805667877197266,18.79940414428711,0.12801297715142312,0.42986485
9,159.3756103515625,159.3756103515625,43.155155181884766,-7.932949155601053,-12.64649647498307,0.5779170989990234,18.163719177246094,0.09582847388882919,0.42712802
8,-174.20053100585938,185.79946899414062,56.3275260925293,-6.30389850067834,-7.87281851814194,0.6087932586669922,19.986370086669922,0.12547402624856632,0.42550144
8,178.5491943359375,178.5491943359375,52.94550704956055,-5.891902545495804,-8.947286614662046,0.705108642578125,19.370014190673828,0.13817724820739036,0.42464954
8,176.40545654296875,176.40545654296875,53.74403762817383,-8.577040578973607,-8.004939125787397,0.7353973388671875,19.370960235595703,0.07556289364275785,0.4209066
8,175.44525146484375,175.44525146484375,53.67365646362305,-7.820277008840733,-8.693222023683559,0.6902179718017578,18.9080753326416,0.0951135645732119,0.42051035
8,173.205322265625,173.205322265625,53.23432540893555,-4.027793756735089,-7.468542932450359,0.604736328125,18.983642578125,0.0617902106037855,0.41935074
15,179.8900146484375,179.8900146484375,54.230247497558594,-4.187037824225783,-11.85939787526136,0.7201213836669922,19.194538116455078,0.13212372680934836,0.41927812
8,178.8349609375,178.8349609375,54.375389099121094,-9.457955843653185,-7.835484113080852,0.6326770782470703,18.417905807495117,0.09519741408910559,0.41625762
15,171.02841186523438,171.02841186523438,52.88563919067383,-4.942471665906718,-8.042509397266999,0.682769775390625,19.585983276367188,0.10033476889614724,0.41328204
8,172.5162353515625,172.5162353515625,54.581695556640625,-7.979614048619987,-8.76998258622303,0.6128787994384766,18.819555282592773,0.13889250137256035,0.41248757
8,176.34814453125,176.34814453125,54.07893371582031,-3.6112412444828172,-8.502779108923985,0.7652492523193359,19.375024795532227,0.09470135976349435,0.41043803
8,173.56878662109375,173.56878662109375,54.71891784667969,-6.709347323936248,-7.813157535577085,0.6578502655029297,19.249597549438477,0.11380230082547727,0.40897202
15,-176.39479064941406,183.60520935058594,54.44858169555664,-4.636783659754478,-10.534407073447662,0.7153568267822266,19.889942169189453,0.11780171919218513,0.40891856
8,174.34188842773438,174.34188842773438,52.82986831665039,-6.850615091557998,-8.015950602601354,0.6521186828613281,18.50527000427246,0.13240792272442983,0.4069066
8,177.66070556640625,177.66070556640625,52.43686294555664,-4.930439334103686,-9.209016950859414,0.6424770355224609,18.523765563964844,0.11965636126660643,0.40413073
8,172.45639038085938,172.45639038085938,54.6175422668457,-3.920752349280194,-8.255898066929852,0.6296615600585938,19.180856704711914,0.08741881080297825,0.40361476
8,176.1768798828125,176.1768798828125,51.257938385009766,-3.6228342419973907,-7.902846667396107,0.6963901519775391,19.54283905029297,0.11919224258553036,0.40178204
8,179.38702392578125,179.38702392578125,53.86198806762695,-5.957288609717706,-10.357598516699648,0.6334648132324219,18.81706428527832,0.13141266188392117,0.40166113
15,-169.87069702148438,190.12930297851562,57.69875717163086,-4.665655987997475,-8.920516213094926,0.5901966094970703,19.15462303161621,0.1250134984718022,0.3930809
15,177.52725219726562,177.52725219726562,53.02725601196289,-4.766073765400045,-10.369368042788192,0.7312221527099609,20.03130531311035,0.12253324360219937,0.39229873
15,-176.5901641845703,183.4098358154297,55.69083786010742,-7.061060728709508,-7.925610368943586,0.7750205993652344,19.464506149291992,0.12457295487096087,0.39199212
15,178.980712890625,178.980712890625,50.9993896484375,-7.988359495800848,-7.841646249326379,0.6644401550292969,19.461490631103516,0.1379407801231824,0.39119497
19,172.74273681640625,172.74273681640625,51.042449951171875,-4.900911360559567,-8.861638579170638,0.6126899719238281,19.826616287231445,0.12757768210081386,0.38395274
19,173.54620361328125,173.54620361328125,51.133056640625,-6.520407211931437,-12.246761573587383,0.6688346862792969,18.86887550354004,0.12724439765992332,0.3775982
19,178.34640502929688,178.34640502929688,53.668087005615234,-6.77678667701298,-8.856150842489834,0.7391471862792969,19.08271598815918,0.12632919645782317,0.37509966
19,170.80001831054688,170.80001831054688,44.785030364990234,-11.137485742808835,-11.678101873469151,0.6072063446044922,19.236061096191406,0.1147092376459793,0.37260598
